SUNE1,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
3/12/2016,3,12,0,0,0,0,0,0,0,0.765957236,6.077459335,8.604870796,8.738890648,8.426990509,8.178891182,8.13608551,8.254094124,8.41809845,8.141280174,6.392810345,1.108717561,0,0,0,0,0
3/13/2016,3,13,0,0,0,0,0,0,0,0.84442544,6.252187252,8.623170853,8.738890648,8.409295082,8.178891182,8.13608551,8.160762787,8.368193626,8.141280174,6.392810345,1.108717561,0,0,0,0,0
3/14/2016,3,14,0,0,0,0,0,0,0,0.848914564,6.252187252,8.623170853,8.738890648,8.409295082,8.178891182,8.110654831,8.160762787,8.368193626,8.141280174,6.418190002,1.229934454,0,0,0,0,0
3/15/2016,3,15,0,0,0,0,0,0,0,0.95128268,6.252187252,8.623170853,8.738890648,8.409295082,8.178891182,8.110654831,8.160762787,8.368193626,8.141280174,6.418190002,1.229934454,0,0,0,0,0
3/16/2016,3,16,0,0,0,0,0,0,0,1.01726234,6.329809666,8.623170853,8.738890648,8.409295082,8.178891182,8.110654831,8.160762787,8.368193626,8.141280174,6.418190002,1.263854742,0,0,0,0,0
3/17/2016,3,17,0,0,0,0,0,0,0,1.166851163,6.329809666,8.623170853,8.738890648,8.409295082,8.178891182,8.110654831,8.160762787,8.368193626,8.141280174,6.524030209,1.400460005,0,0,0,0,0
3/18/2016,3,18,0,0,0,0,0,0,0,1.166851163,6.329809666,8.623170853,8.736708641,8.399012566,8.178891182,8.110654831,8.160762787,8.368193626,8.141280174,6.524030209,1.400460005,0,0,0,0,0
3/19/2016,3,19,0,0,0,0,0,0,8.68129E-06,1.279652357,6.615475178,8.623170853,8.736708641,8.399012566,8.064401627,7.976540565,8.056834221,8.20715332,8.057150841,6.524030209,1.400460005,0,0,0,0,0
3/20/2016,3,20,0,0,0,0,0,0,8.68129E-06,1.41384685,6.615475178,8.294527054,8.630998611,8.350509644,8.055931091,7.933306694,8.042209625,8.20715332,8.057150841,6.524030209,1.400460005,0,0,0,0,0
3/21/2016,3,21,0,0,0,0,0,0,3.06043E-05,1.41384685,6.615475178,8.222765923,8.380980492,8.155871391,7.969973564,7.933306694,7.891506195,8.062713623,8.057150841,6.524030209,1.400460005,0,0,0,0,0
3/22/2016,3,22,0,0,0,0,0,0,3.06043E-05,1.41384685,6.615475178,8.222765923,8.393352509,8.155871391,7.969973564,7.933306694,8.081280708,8.062713623,8.057150841,6.524030209,1.400460005,0,0,0,0,0
3/23/2016,3,23,0,0,0,0,0,0,3.06043E-05,1.707151175,6.615475178,8.609659195,8.393352509,8.439617157,8.173211098,8.257002831,8.408430099,8.042329788,8.057150841,6.524030209,1.400460005,0,0,0,0,0
3/24/2016,3,24,0,0,0,0,0,0,0.000878508,1.707151175,6.63197422,8.609659195,8.642794609,8.439617157,8.267837524,8.257002831,8.408430099,8.042329788,8.057150841,6.402620316,1.374478221,0,0,0,0,0
3/25/2016,3,25,0,0,0,0,0,0,0.001179043,1.707151175,7.235859394,8.926226616,9.070291519,8.768068314,8.500632286,8.443361282,8.538939476,8.658179283,8.481638908,6.962883949,1.761407137,0,0,0,0,0
3/26/2016,3,26,0,0,0,0,0,0,0.001971952,1.90835619,7.41214323,8.926226616,9.070291519,8.807480812,8.568476677,8.538884163,8.685808182,8.782721519,8.530898094,7.060637474,1.790381551,0,0,0,0,0
3/27/2016,3,27,0,0,0,0,0,0,0.003087194,2.01694417,7.42808485,8.955779076,9.070291519,8.807480812,8.568476677,8.538884163,8.685808182,8.782721519,8.530898094,7.060637474,1.790381551,0,0,0,0,0
3/28/2016,3,28,0,0,0,0,0,0,0.00512953,2.01694417,7.42808485,8.955779076,9.070291519,8.807480812,8.568476677,8.538884163,8.685808182,8.782721519,8.530898094,7.060637474,1.790381551,0,0,0,0,0
3/29/2016,3,29,0,0,0,0,0,0,0.006043761,2.01694417,7.42808485,8.955779076,9.070291519,8.807480812,8.568476677,8.538884163,8.685808182,8.782721519,8.530898094,7.060637474,1.790381551,0,0,0,0,0
3/30/2016,3,30,0,0,0,0,0,0,0.006043761,2.01694417,7.42808485,8.955779076,9.070291519,8.807480812,8.568476677,8.538884163,8.685808182,8.782721519,8.530898094,7.060637474,1.790381551,0,0,0,0,0
3/31/2016,3,31,0,0,0,0,0,0,0.033714782,2.01694417,7.42808485,8.955779076,9.070291519,8.807480812,8.568476677,8.538884163,8.685808182,8.782721519,8.530898094,7.060637474,1.790381551,0,0,0,0,0
4/1/2016,4,1,0,0,0,0,0,0,0.033714782,2.01694417,7.42808485,8.955779076,9.041897774,8.807480812,8.568476677,8.538884163,8.685808182,8.782721519,8.530898094,7.060637474,1.909936309,0,0,0,0,0
4/2/2016,4,2,0,0,0,0,0,0,0.033714782,2.45655179,7.42808485,8.955779076,9.041897774,8.804445267,8.443574905,8.209430695,8.515350342,8.524198532,7.901797295,6.634679317,1.909936309,0,0,0,0,0
4/3/2016,4,3,0,0,0,0,0,0,0.033714782,2.45655179,7.182719231,8.202597618,8.479616165,8.556221008,8.267482758,8.209430695,8.241033554,8.240563393,7.901797295,6.634679317,1.909936309,0,0,0,0,0
4/4/2016,4,4,0,0,0,0,0,0,0.033714782,2.45655179,7.182719231,8.132478714,8.479616165,8.556221008,8.267482758,8.209430695,8.241033554,8.240563393,7.901797295,6.634679317,1.909936309,0,0,0,0,0
4/5/2016,4,5,0,0,0,0,0,0,0.040137075,2.957152367,7.5348773,8.396855354,8.479616165,8.556221008,8.267482758,8.209430695,8.241033554,8.240563393,7.992319107,6.634679317,1.909936309,0,0,0,0,0
4/6/2016,4,6,0,0,0,0,0,0,0.040137075,2.957152367,7.5348773,8.396855354,8.479616165,8.556221008,8.267482758,8.209430695,8.241033554,8.240563393,7.992319107,6.634679317,1.909936309,0,0,0,0,0
4/7/2016,4,7,0,0,0,0,0,0,0.047006004,3.229494333,7.6518507,8.396855354,8.479616165,8.556221008,8.267482758,8.241594315,8.241033554,8.240563393,7.992319107,6.634679317,2.196014643,0,0,0,0,0
4/8/2016,4,8,0,0,0,0,0,0,0.047006004,3.229494333,7.6518507,8.396855354,8.380199432,8.345883369,8.26169014,8.241594315,8.232125282,8.274127007,8.007396698,6.808506012,2.196014643,0,0,0,0,0
4/9/2016,4,9,0,0,0,0,0,0,0.073283382,3.296727896,7.6518507,8.396855354,8.380199432,8.356646538,8.278260231,8.241594315,8.271766663,8.359331131,8.055996895,6.841008186,2.259623051,0,0,0,0,0
4/10/2016,4,10,0,0,0,0,0,0,0.082744315,3.309487581,7.6518507,8.396855354,8.406212807,8.356646538,8.278260231,8.241594315,8.271766663,8.359331131,8.055996895,6.841008186,2.259623051,0,0,0,0,0
4/11/2016,4,11,0,0,0,0,0,0,0.082744315,3.309487581,7.6518507,8.396855354,8.61371994,8.438275337,8.278260231,8.241594315,8.271766663,8.41298008,8.198234558,6.902991772,2.259623051,0,0,0,0,0
4/12/2016,4,12,0,0,0,0,0,0,0.091563366,3.545609713,7.6518507,8.567610741,8.696627617,8.639795303,8.561655045,8.281388283,8.359041214,8.538759232,8.294518471,7.083305359,2.552301645,0,0,0,0,0
4/13/2016,4,13,0,0,0,0,0,0,0.126352131,3.894067287,7.686713696,8.567610741,8.696627617,8.639795303,8.561655045,8.281388283,8.359041214,8.538759232,8.294518471,7.083305359,2.552301645,0,0,0,0,0
4/14/2016,4,14,0,0,0,0,0,0,0.126352131,3.894067287,7.686713696,8.567610741,8.696627617,8.639795303,8.561655045,8.281388283,8.359041214,8.538759232,8.294518471,7.083305359,2.552301645,0,0,0,0,0
